step,wallclock_seconds,split,loss
0,0.00015445798635482788,train,3.14159
0,0.7608472079737112,train,7.029653549194336
0,0.7794326660223305,valid,tensor(6.8892)
10,1.1379627080168575,train,6.140951633453369
20,1.473262415966019,train,5.33901834487915
30,1.811712082941085,train,4.358201026916504
40,2.146550916018896,train,4.5921220779418945
50,2.496708624996245,train,3.6815426349639893
60,2.8450433330144733,train,3.588895320892334
70,3.1813918750267476,train,3.653831958770752
80,3.5149659159360453,train,2.9882590770721436
90,3.8577752909623086,train,2.575778007507324
