step,wallclock_seconds,split,layer,mean_l2_norm
260,47.834779095,train,2,22.238330841064453
260,47.834779095,train,3,24.91324234008789
270,49.36198173299999,train,0,22.278276443481445
270,49.36198173299999,train,1,22.230804443359375
270,49.36198173299999,train,2,22.216846466064453
270,49.36198173299999,train,3,24.987213134765625
280,50.887353907000005,train,0,22.262134552001953
280,50.887353907000005,train,1,22.207571029663086
280,50.887353907000005,train,2,22.19622039794922
280,50.887353907000005,train,3,25.050119400024414
290,52.413029968000004,train,0,22.24492645263672
290,52.413029968000004,train,1,22.18501091003418
290,52.413029968000004,train,2,22.17432403564453
290,52.413029968000004,train,3,25.1265869140625
300,53.939723261,train,0,22.225177764892578
300,53.939723261,train,1,22.165496826171875
300,53.939723261,train,2,22.154232025146484
300,53.939723261,train,3,25.19336700439453
300,53.991845899,valid,0,22.223037719726562
300,53.991845899,valid,1,22.162944793701172
300,53.991845899,valid,2,22.152889251708984
300,53.991845899,valid,3,25.202857971191406
310,55.519842329,train,0,22.205583572387695
310,55.519842329,train,1,22.143844604492188
310,55.519842329,train,2,22.133365631103516
310,55.519842329,train,3,25.260711669921875
320,57.045787148,train,0,22.186094284057617
320,57.045787148,train,1,22.121353149414062
320,57.045787148,train,2,22.11250877380371
320,57.045787148,train,3,25.337858200073242
330,58.573414443999994,train,0,22.168575286865234
330,58.573414443999994,train,1,22.0992431640625
330,58.573414443999994,train,2,22.08979034423828
330,58.573414443999994,train,3,25.406574249267578
340,60.099545043999996,train,0,22.149438858032227
340,60.099545043999996,train,1,22.07391357421875
340,60.099545043999996,train,2,22.065753936767578
340,60.099545043999996,train,3,25.485553741455078
350,61.62589645,train,0,22.130104064941406
350,61.62589645,train,1,22.04758071899414
350,61.62589645,train,2,22.044723510742188
350,61.62589645,train,3,25.552248001098633
360,63.151155446999994,train,0,22.113422393798828
360,63.151155446999994,train,1,22.024980545043945
360,63.151155446999994,train,2,22.021366119384766
360,63.151155446999994,train,3,25.62137794494629
370,64.676462483,train,0,22.09619140625
370,64.676462483,train,1,22.002426147460938
370,64.676462483,train,2,21.99725341796875
370,64.676462483,train,3,25.691776275634766
380,66.203021599,train,0,22.079002380371094
380,66.203021599,train,1,21.980579376220703
380,66.203021599,train,2,21.973772048950195
380,66.203021599,train,3,25.76420021057129
390,67.729747037,train,0,22.063779830932617
390,67.729747037,train,1,21.95878028869629
390,67.729747037,train,2,21.953468322753906
390,67.729747037,train,3,25.83470916748047
400,69.256308316,train,0,22.048442840576172
400,69.256308316,train,1,21.937856674194336
400,69.256308316,train,2,21.930967330932617
400,69.256308316,train,3,25.898012161254883
400,69.309007575,valid,0,22.046533584594727
400,69.309007575,valid,1,21.93587875366211
400,69.309007575,valid,2,21.9292049407959
400,69.309007575,valid,3,25.903629302978516
410,70.835978833,train,0,22.030853271484375
410,70.835978833,train,1,21.91720199584961
410,70.835978833,train,2,21.90825653076172
410,70.835978833,train,3,25.973894119262695
420,72.36252151699999,train,0,22.015846252441406
420,72.36252151699999,train,1,21.895328521728516
420,72.36252151699999,train,2,21.886249542236328
420,72.36252151699999,train,3,26.046306610107422
430,73.88979234499999,train,0,21.999778747558594
430,73.88979234499999,train,1,21.874614715576172
430,73.88979234499999,train,2,21.865982055664062
