step,wallclock_seconds,split,layer,mean_l2_norm
110,25.297069124,train,2,22.530128479003906
110,25.297069124,train,3,23.618511199951172
120,26.850465439999997,train,0,22.436800003051758
120,26.850465439999997,train,1,22.497421264648438
120,26.850465439999997,train,2,22.502635955810547
120,26.850465439999997,train,3,23.71204376220703
130,28.406697980999997,train,0,22.41335678100586
130,28.406697980999997,train,1,22.476215362548828
130,28.406697980999997,train,2,22.47437858581543
130,28.406697980999997,train,3,23.80670166015625
140,29.961886365999998,train,0,22.38819694519043
140,29.961886365999998,train,1,22.452816009521484
140,29.961886365999998,train,2,22.44446563720703
140,29.961886365999998,train,3,23.897682189941406
150,31.515960686000003,train,0,22.364383697509766
150,31.515960686000003,train,1,22.430217742919922
150,31.515960686000003,train,2,22.41570281982422
150,31.515960686000003,train,3,23.987306594848633
160,33.069385364,train,0,22.341018676757812
160,33.069385364,train,1,22.404367446899414
160,33.069385364,train,2,22.388071060180664
160,33.069385364,train,3,24.074024200439453
170,34.624590189,train,0,22.318880081176758
170,34.624590189,train,1,22.376636505126953
170,34.624590189,train,2,22.361085891723633
170,34.624590189,train,3,24.159622192382812
180,36.180438783,train,0,22.298625946044922
180,36.180438783,train,1,22.351825714111328
180,36.180438783,train,2,22.33506965637207
180,36.180438783,train,3,24.24220848083496
190,37.731985687000005,train,0,22.277137756347656
190,37.731985687000005,train,1,22.32682228088379
190,37.731985687000005,train,2,22.3082275390625
190,37.731985687000005,train,3,24.32606315612793
200,39.284722181999996,train,0,22.254600524902344
200,39.284722181999996,train,1,22.30040740966797
200,39.284722181999996,train,2,22.280818939208984
200,39.284722181999996,train,3,24.403362274169922
200,39.345739730999995,valid,0,22.252187728881836
200,39.345739730999995,valid,1,22.297447204589844
200,39.345739730999995,valid,2,22.278953552246094
200,39.345739730999995,valid,3,24.415569305419922
210,40.901705144000005,train,0,22.234703063964844
210,40.901705144000005,train,1,22.275371551513672
210,40.901705144000005,train,2,22.256641387939453
210,40.901705144000005,train,3,24.481258392333984
220,42.456863204,train,0,22.216215133666992
220,42.456863204,train,1,22.249547958374023
220,42.456863204,train,2,22.23181915283203
220,42.456863204,train,3,24.558059692382812
