step,wallclock_seconds,split,layer,mean_l2_norm
380,46.141291905,train,2,22.33324432373047
380,46.141291905,train,3,25.691333770751953
390,47.28835284,train,0,21.751018524169922
390,47.28835284,train,1,21.74669647216797
390,47.28835284,train,2,22.32970428466797
390,47.28835284,train,3,25.76005744934082
400,48.435030732,train,0,21.736740112304688
400,48.435030732,train,1,21.72833251953125
400,48.435030732,train,2,22.32439613342285
400,48.435030732,train,3,25.83123779296875
400,48.476145822,valid,0,21.735742568969727
400,48.476145822,valid,1,21.726417541503906
400,48.476145822,valid,2,22.31863021850586
400,48.476145822,valid,3,25.838241577148438
410,49.623109892,train,0,21.719951629638672
410,49.623109892,train,1,21.7078857421875
410,49.623109892,train,2,22.314817428588867
410,49.623109892,train,3,25.893726348876953
420,50.771848573,train,0,21.702877044677734
420,50.771848573,train,1,21.69313621520996
420,50.771848573,train,2,22.312402725219727
420,50.771848573,train,3,25.971420288085938
430,51.918741034,train,0,21.687946319580078
430,51.918741034,train,1,21.676319122314453
430,51.918741034,train,2,22.296981811523438
430,51.918741034,train,3,26.03386878967285
440,53.065498332000004,train,0,21.674999237060547
440,53.065498332000004,train,1,21.659469604492188
440,53.065498332000004,train,2,22.299209594726562
440,53.065498332000004,train,3,26.10192108154297
450,54.212421003,train,0,21.660825729370117
450,54.212421003,train,1,21.6415958404541
450,54.212421003,train,2,22.29297637939453
450,54.212421003,train,3,26.16385269165039
460,55.359324367,train,0,21.647647857666016
460,55.359324367,train,1,21.62411880493164
460,55.359324367,train,2,22.28270721435547
460,55.359324367,train,3,26.220279693603516
470,56.506562602,train,0,21.632911682128906
470,56.506562602,train,1,21.609195709228516
470,56.506562602,train,2,22.273536682128906
470,56.506562602,train,3,26.287212371826172
480,57.653452040000005,train,0,21.619930267333984
480,57.653452040000005,train,1,21.594280242919922
480,57.653452040000005,train,2,22.276546478271484
480,57.653452040000005,train,3,26.34813690185547
490,58.800365149,train,0,21.61033821105957
490,58.800365149,train,1,21.579057693481445
490,58.800365149,train,2,22.260860443115234
490,58.800365149,train,3,26.406770706176758
500,59.947651773000004,train,0,21.598630905151367
500,59.947651773000004,train,1,21.561410903930664
500,59.947651773000004,train,2,22.25078582763672
500,59.947651773000004,train,3,26.47100067138672
500,59.989673391000004,valid,0,21.59808921813965
500,59.989673391000004,valid,1,21.56351089477539
500,59.989673391000004,valid,2,22.259624481201172
500,59.989673391000004,valid,3,26.473491668701172
510,61.138011346000006,train,0,21.58724594116211
510,61.138011346000006,train,1,21.54564666748047
510,61.138011346000006,train,2,22.24072265625
510,61.138011346000006,train,3,26.528799057006836
520,62.288779354,train,0,21.57575798034668
520,62.288779354,train,1,21.5344181060791
520,62.288779354,train,2,22.243995666503906
520,62.288779354,train,3,26.586467742919922
530,63.437075288,train,0,21.562641143798828
530,63.437075288,train,1,21.518360137939453
530,63.437075288,train,2,22.23027801513672
530,63.437075288,train,3,26.64140510559082
540,64.586450755,train,0,21.552059173583984
540,64.586450755,train,1,21.5058536529541
540,64.586450755,train,2,22.2298526763916
540,64.586450755,train,3,26.703510284423828
550,65.734370484,train,0,21.541702270507812
550,65.734370484,train,1,21.49315643310547
550,65.734370484,train,2,22.228782653808594
550,65.734370484,train,3,26.752336502075195
560,66.882499196,train,0,21.531171798706055
560,66.882499196,train,1,21.474369049072266
560,66.882499196,train,2,22.213085174560547
560,66.882499196,train,3,26.801021575927734
570,68.030999228,train,0,21.520299911499023
570,68.030999228,train,1,21.46030044555664
570,68.030999228,train,2,22.208656311035156
570,68.030999228,train,3,26.847091674804688
580,69.178905877,train,0,21.510284423828125
580,69.178905877,train,1,21.444379806518555
580,69.178905877,train,2,22.19363784790039
580,69.178905877,train,3,26.900920867919922
590,70.325252705,train,0,21.503196716308594
590,70.325252705,train,1,21.433429718017578
590,70.325252705,train,2,22.195497512817383
590,70.325252705,train,3,26.947561264038086
600,71.472039107,train,0,21.493799209594727
600,71.472039107,train,1,21.41803741455078
600,71.472039107,train,2,22.187816619873047
600,71.472039107,train,3,26.99662208557129
600,71.514051825,valid,0,21.49335479736328
600,71.514051825,valid,1,21.418811798095703
600,71.514051825,valid,2,22.197711944580078
600,71.514051825,valid,3,27.003917694091797
610,72.661060873,train,0,21.485231399536133
610,72.661060873,train,1,21.40670394897461
