step,wallclock_seconds,split,layer,mean_l2_norm
570,67.501246842,train,3,26.904865264892578
580,68.647618061,train,0,21.56172752380371
580,68.647618061,train,1,21.419986724853516
580,68.647618061,train,2,22.20151138305664
580,68.647618061,train,3,26.950695037841797
590,69.794254631,train,0,21.552207946777344
590,69.794254631,train,1,21.40786361694336
590,69.794254631,train,2,22.198423385620117
590,69.794254631,train,3,26.995235443115234
600,70.94133482000001,train,0,21.54368019104004
600,70.94133482000001,train,1,21.394390106201172
600,70.94133482000001,train,2,22.186126708984375
600,70.94133482000001,train,3,27.039478302001953
600,70.981110344,valid,0,21.542516708374023
600,70.981110344,valid,1,21.39166259765625
600,70.981110344,valid,2,22.184234619140625
600,70.981110344,valid,3,27.04389190673828
610,72.12677708700001,train,0,21.533218383789062
610,72.12677708700001,train,1,21.37919044494629
610,72.12677708700001,train,2,22.189830780029297
610,72.12677708700001,train,3,27.0839786529541
620,73.271802303,train,0,21.524154663085938
620,73.271802303,train,1,21.366275787353516
620,73.271802303,train,2,22.17877960205078
620,73.271802303,train,3,27.12712860107422
630,74.416841406,train,0,21.514602661132812
630,74.416841406,train,1,21.351699829101562
630,74.416841406,train,2,22.168052673339844
630,74.416841406,train,3,27.174665451049805
640,75.562697752,train,0,21.505382537841797
640,75.562697752,train,1,21.337186813354492
640,75.562697752,train,2,22.155237197875977
640,75.562697752,train,3,27.214454650878906
650,76.708487401,train,0,21.495121002197266
650,76.708487401,train,1,21.320751190185547
650,76.708487401,train,2,22.140880584716797
650,76.708487401,train,3,27.254154205322266
660,77.854074846,train,0,21.488452911376953
660,77.854074846,train,1,21.308948516845703
660,77.854074846,train,2,22.13932228088379
660,77.854074846,train,3,27.300174713134766
670,78.999389174,train,0,21.479904174804688
670,78.999389174,train,1,21.297924041748047
670,78.999389174,train,2,22.152408599853516
670,78.999389174,train,3,27.33326530456543
680,80.14552726100001,train,0,21.470571517944336
680,80.14552726100001,train,1,21.285648345947266
680,80.14552726100001,train,2,22.145374298095703
680,80.14552726100001,train,3,27.37649154663086
690,81.290708144,train,0,21.462448120117188
690,81.290708144,train,1,21.26895523071289
690,81.290708144,train,2,22.118736267089844
690,81.290708144,train,3,27.42120933532715
700,82.436003338,train,0,21.4559326171875
700,82.436003338,train,1,21.258190155029297
700,82.436003338,train,2,22.130813598632812
700,82.436003338,train,3,27.460494995117188
700,82.47592993900001,valid,0,21.45496368408203
700,82.47592993900001,valid,1,21.254478454589844
700,82.47592993900001,valid,2,22.123401641845703
700,82.47592993900001,valid,3,27.463455200195312
710,83.62178233300001,train,0,21.449600219726562
710,83.62178233300001,train,1,21.248300552368164
710,83.62178233300001,train,2,22.12179183959961
710,83.62178233300001,train,3,27.496952056884766
720,84.766690126,train,0,21.441268920898438
720,84.766690126,train,1,21.231822967529297
720,84.766690126,train,2,22.114681243896484
720,84.766690126,train,3,27.53304672241211
730,85.913279085,train,0,21.43283462524414
730,85.913279085,train,1,21.21877670288086
730,85.913279085,train,2,22.098304748535156
730,85.913279085,train,3,27.56778335571289
740,87.059498839,train,0,21.422500610351562
740,87.059498839,train,1,21.20699691772461
740,87.059498839,train,2,22.097583770751953
740,87.059498839,train,3,27.602901458740234
750,88.20499489500001,train,0,21.414113998413086
750,88.20499489500001,train,1,21.195343017578125
750,88.20499489500001,train,2,22.09279441833496
750,88.20499489500001,train,3,27.631725311279297
760,89.35041551900001,train,0,21.406490325927734
760,89.35041551900001,train,1,21.18033218383789
760,89.35041551900001,train,2,22.08797836303711
760,89.35041551900001,train,3,27.66427993774414
770,90.495323947,train,0,21.397008895874023
770,90.495323947,train,1,21.16727066040039
770,90.495323947,train,2,22.07158088684082
770,90.495323947,train,3,27.68981170654297
