step,wallclock_seconds,split,loss
0,2.065161576,train,9.274747848510742
0,2.084588464,valid,9.265192031860352
10,2.5551379409999995,train,8.715866088867188
20,2.980962707,train,7.539896011352539
30,3.403378135,train,6.153045654296875
40,3.8206868899999997,train,5.089920997619629
50,4.243508744,train,4.504545211791992
60,4.664479223999999,train,4.039187908172607
70,5.0837919,train,3.895808696746826
80,5.503760593999999,train,3.6759634017944336
90,5.922211572,train,3.552445650100708
100,6.340594101999999,train,3.3457183837890625
100,6.355249407999999,valid,3.5390305519104004
110,6.774423279999999,train,3.248971939086914
120,7.196013134999999,train,3.3604037761688232
130,7.614053388999999,train,3.15407657623291
140,8.032276419999999,train,3.1246166229248047
150,8.454993065,train,3.0874733924865723
160,8.873305930999999,train,2.958127498626709
170,9.292372142,train,2.851557970046997
180,9.722347770999999,train,2.8706247806549072
190,10.145753470999999,train,2.934251308441162
200,10.566169797999999,train,2.780898094177246
200,10.581052339,valid,2.738229274749756
210,11.000325853,train,2.701136589050293
220,11.420912232,train,2.728320598602295
230,11.843582053999999,train,2.630941867828369
240,12.264327262,train,2.5384039878845215
250,12.683046371,train,2.668671131134033
260,13.100973945,train,2.6969258785247803
270,13.521286515,train,2.7669413089752197
280,13.940829482,train,2.690845489501953
290,14.36043794,train,2.635115146636963
300,14.779914769999998,train,2.546856641769409
300,14.794635904,valid,2.599545478820801
310,15.212392098999999,train,2.5926976203918457
320,15.629942612,train,2.735957384109497
330,16.047515354999998,train,2.5538113117218018
340,16.465048911,train,2.7382497787475586
350,16.882743813999998,train,2.5064609050750732
360,17.300154411,train,2.6502275466918945
370,17.717002141,train,2.4595656394958496
380,18.134173282,train,2.5379011631011963
390,18.551502636,train,2.452441453933716
400,18.968701803,train,2.451051950454712
400,18.983211142,valid,2.4296040534973145
410,19.400346038,train,2.296445369720459
420,19.818021751,train,2.437500476837158
430,20.236301856,train,2.5134356021881104
440,20.654358903,train,2.423133611679077
450,21.071330986,train,2.359327793121338
460,21.488907047999998,train,2.4472739696502686
470,21.906215227,train,2.3249125480651855
480,22.323914615,train,2.370738983154297
490,22.740834021999998,train,2.25787353515625
