step,wallclock_seconds,split,loss
0,2.158818665,train,9.265606880187988
0,2.2122657740000005,valid,8.471156120300293
10,3.7549297580000003,train,4.858275890350342
20,5.293254994,train,3.996164560317993
30,6.832309244,train,3.7195425033569336
40,8.371724148999999,train,3.481020212173462
50,9.911135734999998,train,3.3453569412231445
60,11.449665852999999,train,3.1721320152282715
70,12.989385777999999,train,3.0062499046325684
80,14.530274519999999,train,2.9556853771209717
90,16.070883437,train,2.9124979972839355
100,17.611600228,train,2.7718567848205566
100,17.662655499,valid,2.7709240913391113
110,19.202369645,train,2.706357955932617
120,20.741641642999998,train,2.6603522300720215
130,22.280836586,train,2.568655014038086
140,23.819765486999998,train,2.6091010570526123
150,25.358032946999998,train,2.5340094566345215
160,26.897259705,train,2.4765853881835938
170,28.434240404,train,2.479985475540161
180,29.971546966000002,train,2.430387496948242
190,31.509113834999997,train,2.4286842346191406
200,33.046848833000006,train,2.3840792179107666
200,33.097338996000005,valid,2.4053025245666504
210,34.634671324,train,2.3045077323913574
220,36.170984273,train,2.3111507892608643
230,37.707416537,train,2.340786933898926
240,39.24589755,train,2.312452793121338
250,40.782580202000005,train,2.2838847637176514
260,42.318586314,train,2.229341745376587
270,43.854891153000004,train,2.239018440246582
280,45.392194131000004,train,2.265468120574951
290,46.929424549000004,train,2.2297444343566895
300,48.466080742,train,2.177654981613159
300,48.517312768000004,valid,2.191516160964966
310,50.053394981000004,train,2.1006317138671875
320,51.591153529,train,2.2014005184173584
330,53.128457168000004,train,2.0858492851257324
340,54.664549764,train,2.1399059295654297
350,56.203236499000006,train,2.0851268768310547
360,57.741761527,train,2.1050891876220703
370,59.281167124,train,2.0548439025878906
380,60.819088128000004,train,2.0150039196014404
390,62.357396906000005,train,2.0715479850769043
400,63.895033541000004,train,2.0589182376861572
400,63.94530767900001,valid,2.049180030822754
410,65.482037192,train,2.056746482849121
420,67.018528665,train,2.055004596710205
430,68.55472131,train,2.0223164558410645
440,70.09349622500001,train,2.0430727005004883
450,71.630159089,train,2.0233583450317383
460,73.1673888,train,2.0051283836364746
470,74.70382847500001,train,1.987480878829956
480,76.24074833,train,1.9576016664505005
490,77.778411545,train,1.9959927797317505
500,79.316116152,train,1.91818368434906
500,79.36666774300001,valid,1.9336214065551758
510,80.90331842500001,train,2.020970344543457
520,82.439630694,train,1.9722514152526855
530,83.975279414,train,1.9588888883590698
540,85.511883659,train,1.8819568157196045
550,87.04906669900001,train,1.8632612228393555
560,88.585970669,train,1.8644636869430542
570,90.122852877,train,1.9131019115447998
580,91.661916125,train,1.92497980594635
590,93.199481,train,1.9516193866729736
600,94.736981044,train,1.9294863939285278
600,94.788045976,valid,1.8815269470214844
610,96.326232387,train,1.8651421070098877
620,97.862524654,train,1.8673681020736694
630,99.401603847,train,1.8604847192764282
640,100.940895981,train,1.8665745258331299
650,102.48031149,train,1.8618574142456055
660,104.01834548400001,train,1.837862491607666
670,105.557347678,train,1.8720290660858154
680,107.096611872,train,1.8659191131591797
690,108.63611372700001,train,1.8896065950393677
700,110.174398354,train,1.8373826742172241
700,110.225266364,valid,1.8290760517120361
710,111.762850222,train,1.9145615100860596
720,113.299897961,train,1.801554799079895
730,114.837714027,train,1.8666934967041016
740,116.374082872,train,1.8369505405426025
750,117.909981528,train,1.8403069972991943
760,119.449254971,train,1.83390212059021
770,120.987204461,train,1.8257932662963867
780,122.524943119,train,1.8191601037979126
790,124.064072087,train,1.8349313735961914
800,125.602384565,train,1.7906720638275146
800,125.65299376600001,valid,1.7902514934539795
810,127.191686675,train,1.7802677154541016
820,128.729545402,train,1.8265379667282104
830,130.268148945,train,1.8397239446640015
840,131.806941495,train,1.8249175548553467
850,133.345087753,train,1.7542306184768677
860,134.883258798,train,1.6995704174041748
870,136.42002941500002,train,1.7620468139648438
880,137.958436347,train,1.7692039012908936
890,139.495865008,train,1.7611241340637207
900,141.03509851,train,1.6944420337677002
900,141.085318457,valid,1.8135383129119873
910,142.622530277,train,1.761077642440796
920,144.160107137,train,1.7664397954940796
930,145.698571142,train,1.8116989135742188
940,147.23661330800002,train,1.7434059381484985
950,148.775395428,train,1.7439782619476318
960,150.312982701,train,1.7176439762115479
970,151.852683726,train,1.7853987216949463
980,153.391659277,train,1.7566500902175903
990,154.929755468,train,1.7203223705291748
